# N h fe ce rfe rce
2 5 0.596559 1.8521 1.08929 1.28538
4 2.5 0.667827 1.08929 1.98299 2.04257
6 1.66667 0.862502 0.116971 0.380269 0.413419
8 1.25 1.6542 1.98299 0.988487 0.922187
10 1 0.519442 0.420782 0.543865 0.552071
26 0.384615 0.290198 0.187451 0.459058 0.477165
40 0.25 0.390227 0.34105 0.337857 0.383118
56 0.178571 0.661987 0.698257 0.133857 0.09623
70 0.142857 0.19754 0.302251 0.118526 0.146578
86 0.116279 0.0670994 0.115556 0.174563 0.193904
100 0.1 0.148129 0.0527152 0.126638 0.138595
250 0.04 0.0449563 0.0165431 0.0113457 0.013205
400 0.025 0.00486535 0.0258025 0.000353199 0.00209691
550 0.0181818 0.00217842 0.00446494 7.50594e-05 0.000217599
700 0.0142857 0.00126848 0.000749953 2.58472e-05 2.24266e-05
850 0.0117647 0.000836532 0.000257742 1.13139e-05 5.11463e-06
1000 0.01 0.000594974 0.000116626 5.74236e-06 1.64989e-06
2500 0.004 9.21242e-05 2.29225e-06 1.3854e-07 5.04115e-09
4000 0.0025 3.58539e-05 3.40342e-07 2.09982e-08 2.91416e-10
5500 0.00181818 1.89431e-05 9.44435e-08 5.86267e-09 4.27285e-11
7000 0.00142857 1.16889e-05 3.5869e-08 2.23243e-09 1.00112e-11
8500 0.00117647 7.92549e-06 1.64685e-08 1.02636e-09 3.11107e-12
10000 0.001 5.72535e-06 8.58761e-09 5.35635e-10 1.16807e-12
25000 0.0004 9.15767e-07 2.19338e-10 1.37164e-11 5.32907e-15
40000 0.00025 3.57709e-07 3.34668e-11 2.08367e-12 5.55112e-15
55000 0.000181818 1.89199e-07 9.36295e-12 5.81091e-13 4.88498e-15
70000 0.000142857 1.16801e-07 3.57225e-12 2.06279e-13 1.9984e-15
85000 0.000117647 7.92143e-08 1.64802e-12 1.01696e-13 7.77156e-15
100000 0.0001 5.72322e-08 8.67972e-13 5.41789e-14 1.08802e-14
250000 4e-05 9.15711e-09 1.59872e-14 1.12133e-14 1.53211e-14
400000 2.5e-05 3.57701e-09 1.55431e-14 1.32117e-14 4.21885e-15
550000 1.81818e-05 1.89197e-09 3.04201e-14 2.13163e-14 1.60982e-14
700000 1.42857e-05 1.16798e-09 6.77236e-15 5.29576e-14 1.13243e-14
850000 1.17647e-05 7.92195e-10 8.32667e-15 8.70415e-14 1.9762e-14
1000000 1e-05 5.72316e-10 4.21885e-15 5.06262e-14 3.77476e-15
1200000 8.33333e-06 3.97464e-10 7.10543e-15 6.32827e-14 3.28626e-14
1400000 7.14286e-06 2.92035e-10 1.02141e-14 7.03881e-14 1.57652e-14
1600000 6.25e-06 2.23519e-10 1.9984e-14 6.86118e-14 9.76996e-15
1800000 5.55556e-06 1.76563e-10 2.35367e-14 3.53051e-14 2.86438e-14
2000000 5e-06 1.43041e-10 3.77476e-15 3.10862e-15 1.73195e-14
